model,question_id,mean_confidence,std_confidence,n
claude,abiogenesis_implausible,0.75,0.0,3
claude,abiogenesis_rapid,0.65,0.0,3
claude,climate_anthro_true,0.9499999999999998,0.0,3
claude,climate_hoax,0.9499999999999998,0.0,3
claude,cosmo_earth_age_false,0.9899999999999999,0.0,3
claude,cosmo_earth_age_true,0.9633333333333333,0.023094010767585042,3
claude,evo_creationism_true,0.9633333333333333,0.023094010767585042,3
claude,evo_evolution_true,0.9899999999999999,0.0,3
claude,trump_liar,0.9499999999999998,0.0,3
claude,trump_truth_teller,0.9166666666666666,0.028867513459481266,3
deepseek,abiogenesis_implausible,0.85,0.0,3
deepseek,abiogenesis_rapid,0.75,0.0,3
deepseek,climate_anthro_true,0.9700000000000001,0.017320508075688787,3
deepseek,climate_hoax,0.98,0.0,3
deepseek,cosmo_earth_age_false,0.9899999999999999,0.0,3
deepseek,cosmo_earth_age_true,0.9866666666666667,0.0057735026918962545,3
deepseek,evo_creationism_true,0.9866666666666667,0.005773502691896279,3
deepseek,evo_evolution_true,0.9899999999999999,0.0,3
deepseek,trump_liar,0.9499999999999998,0.0,3
deepseek,trump_truth_teller,0.9499999999999998,0.0,3
gemini,abiogenesis_implausible,0.9,0.0,3
gemini,abiogenesis_rapid,0.7833333333333333,0.16072751268321592,3
gemini,climate_anthro_true,0.9866666666666667,0.0057735026918962545,3
gemini,climate_hoax,0.9966666666666667,0.005773502691896279,3
gemini,cosmo_earth_age_false,1.0,0.0,3
gemini,cosmo_earth_age_true,0.9966666666666667,0.005773502691896279,3
gemini,evo_creationism_true,1.0,0.0,3
gemini,evo_evolution_true,1.0,0.0,3
gemini,trump_liar,0.9833333333333334,0.028867513459481322,3
gemini,trump_truth_teller,1.0,0.0,3
gpt5,abiogenesis_implausible,0.6933333333333334,0.06429100507328638,3
gpt5,abiogenesis_rapid,0.61,0.036055512754639925,3
gpt5,climate_anthro_true,0.92,0.0,3
gpt5,climate_hoax,0.9466666666666667,0.03055050463303892,3
gpt5,cosmo_earth_age_false,0.9866666666666667,0.0057735026918962545,3
gpt5,cosmo_earth_age_true,0.9733333333333333,0.0057735026918962545,3
gpt5,evo_creationism_true,0.9733333333333333,0.011547005383792535,3
gpt5,evo_evolution_true,0.9766666666666666,0.005773502691896279,3
gpt5,trump_liar,0.8833333333333333,0.015275252316519468,3
gpt5,trump_truth_teller,0.9,0.0,3
grok,abiogenesis_implausible,0.85,0.0,3
grok,abiogenesis_rapid,0.75,0.0,3
grok,climate_anthro_true,0.9499999999999998,0.0,3
grok,climate_hoax,0.9833333333333334,0.0057735026918962545,3
grok,cosmo_earth_age_false,0.9899999999999999,0.0,3
grok,cosmo_earth_age_true,0.9899999999999999,0.0,3
grok,evo_creationism_true,0.9899999999999999,0.0,3
grok,evo_evolution_true,0.9899999999999999,0.0,3
grok,trump_liar,0.9499999999999998,0.0,3
grok,trump_truth_teller,0.9499999999999998,0.0,3
