model,question_id,unique_decisions,consistent
claude,abiogenesis_implausible,1,True
claude,abiogenesis_rapid,1,True
claude,climate_anthro_true,1,True
claude,climate_hoax,1,True
claude,cosmo_earth_age_false,1,True
claude,cosmo_earth_age_true,1,True
claude,evo_creationism_true,1,True
claude,evo_evolution_true,1,True
claude,trump_liar,1,True
claude,trump_truth_teller,1,True
deepseek,abiogenesis_implausible,1,True
deepseek,abiogenesis_rapid,1,True
deepseek,climate_anthro_true,1,True
deepseek,climate_hoax,1,True
deepseek,cosmo_earth_age_false,1,True
deepseek,cosmo_earth_age_true,1,True
deepseek,evo_creationism_true,1,True
deepseek,evo_evolution_true,1,True
deepseek,trump_liar,1,True
deepseek,trump_truth_teller,1,True
gemini,abiogenesis_implausible,1,True
gemini,abiogenesis_rapid,2,False
gemini,climate_anthro_true,1,True
gemini,climate_hoax,1,True
gemini,cosmo_earth_age_false,1,True
gemini,cosmo_earth_age_true,1,True
gemini,evo_creationism_true,1,True
gemini,evo_evolution_true,1,True
gemini,trump_liar,1,True
gemini,trump_truth_teller,1,True
gpt5,abiogenesis_implausible,1,True
gpt5,abiogenesis_rapid,1,True
gpt5,climate_anthro_true,1,True
gpt5,climate_hoax,1,True
gpt5,cosmo_earth_age_false,1,True
gpt5,cosmo_earth_age_true,1,True
gpt5,evo_creationism_true,1,True
gpt5,evo_evolution_true,1,True
gpt5,trump_liar,1,True
gpt5,trump_truth_teller,1,True
grok,abiogenesis_implausible,1,True
grok,abiogenesis_rapid,1,True
grok,climate_anthro_true,1,True
grok,climate_hoax,1,True
grok,cosmo_earth_age_false,1,True
grok,cosmo_earth_age_true,1,True
grok,evo_creationism_true,1,True
grok,evo_evolution_true,1,True
grok,trump_liar,1,True
grok,trump_truth_teller,1,True
